idCita,fechaCita,horaCita
1,2022-12-10,15:00:00
2,2023-01-25,12:30:00
3,2023-01-01,13:30:00
4,2021-07-26,08:00:00
5,2022-02-26,13:00:00
6,2023-11-15,12:30:00
7,2021-11-25,12:00:00
8,2023-12-10,08:30:00
9,2021-12-22,13:30:00
10,2021-10-27,09:30:00
11,2023-06-15,16:30:00
12,2023-11-22,13:00:00
13,2022-04-02,13:00:00
14,2023-01-14,13:30:00
15,2023-10-01,11:30:00
16,2021-08-26,08:30:00
17,2023-12-26,13:30:00
18,2023-11-14,14:00:00
19,2023-12-02,14:00:00
20,2023-01-27,12:30:00
21,2021-12-12,09:00:00
22,2022-12-14,13:00:00
23,2023-12-16,10:30:00
24,2022-01-13,10:30:00
25,2022-03-01,14:00:00
26,2023-10-10,07:00:00
27,2023-10-07,11:00:00
28,2021-01-01,09:00:00
29,2022-07-15,12:30:00
30,2023-03-03,11:00:00
31,2021-12-28,17:00:00
32,2023-09-15,10:00:00
33,2021-07-14,12:00:00
34,2023-04-22,13:00:00
35,2023-01-01,07:30:00
36,2023-01-06,15:00:00
37,2021-10-08,13:00:00
38,2021-04-15,14:30:00
39,2022-01-25,17:30:00
40,2023-11-14,07:30:00
41,2023-06-25,11:30:00
42,2022-07-03,15:00:00
43,2023-01-21,12:30:00
44,2023-07-19,12:00:00
45,2022-04-10,17:30:00
46,2021-09-02,13:00:00
47,2022-10-24,11:00:00
48,2023-02-22,08:00:00
49,2021-04-22,09:00:00
50,2023-11-02,08:00:00
51,2022-04-01,11:30:00
52,2021-07-19,12:00:00
53,2022-06-28,09:30:00
54,2022-06-22,11:00:00
55,2023-04-25,12:00:00
56,2022-02-21,17:30:00
57,2021-11-15,11:30:00
58,2022-07-13,10:00:00
59,2023-01-25,12:30:00
60,2023-12-05,13:30:00
61,2022-06-15,17:00:00
62,2023-07-12,13:00:00
63,2021-11-03,11:00:00
64,2022-01-27,10:30:00
65,2022-12-05,09:00:00
66,2023-07-12,11:00:00
67,2023-11-28,14:00:00
68,2023-01-07,15:30:00
69,2023-12-23,12:00:00
70,2023-11-26,11:30:00
71,2021-11-25,15:00:00
72,2022-02-17,10:00:00
73,2021-03-15,12:00:00
74,2022-01-23,07:00:00
75,2021-01-26,07:00:00
76,2022-06-24,13:30:00
77,2022-06-07,12:30:00
78,2022-04-27,14:30:00
79,2022-12-09,10:00:00
80,2022-09-02,12:00:00
81,2021-10-28,10:30:00
82,2022-11-15,08:30:00
83,2023-11-14,15:00:00
84,2022-06-22,09:00:00
85,2023-01-08,14:00:00
86,2023-10-25,11:30:00
87,2021-07-19,12:30:00
88,2023-10-02,15:00:00
89,2023-04-28,07:00:00
90,2023-01-13,12:00:00
91,2021-01-10,11:00:00
92,2022-01-09,11:00:00
93,2022-03-10,13:00:00
94,2021-02-10,14:30:00
95,2022-07-15,08:00:00
96,2023-11-27,14:00:00
97,2021-01-10,14:00:00
98,2021-02-28,13:00:00
99,2022-11-23,11:00:00
100,2023-12-21,09:00:00
101,2022-10-22,14:30:00
102,2023-02-22,10:00:00
103,2023-04-03,12:00:00
104,2023-02-17,11:30:00
105,2023-01-02,12:30:00
106,2022-02-22,12:30:00
107,2021-12-22,08:30:00
108,2023-12-23,13:30:00
109,2023-01-01,12:30:00
110,2022-03-27,12:30:00
111,2023-11-15,16:00:00
112,2023-01-23,13:30:00
113,2023-01-02,12:00:00
114,2021-06-14,09:00:00
115,2021-04-28,12:30:00
116,2022-03-21,11:00:00
117,2022-02-13,13:30:00
118,2023-06-27,16:00:00
119,2023-01-04,08:00:00
120,2022-11-14,11:30:00
121,2021-12-12,10:30:00
122,2021-11-12,14:30:00
123,2023-12-22,13:00:00
124,2022-02-19,13:30:00
125,2022-10-01,12:30:00
126,2023-01-15,13:00:00
127,2023-07-18,12:30:00
128,2023-06-27,11:00:00
129,2023-07-10,11:00:00
130,2021-04-28,11:00:00
131,2022-07-18,16:00:00
132,2023-04-09,07:30:00
133,2021-04-22,12:00:00
134,2023-02-17,16:00:00
135,2022-10-26,13:30:00
136,2023-01-13,12:00:00
137,2021-07-10,11:00:00
138,2022-01-25,09:30:00
139,2023-04-04,12:30:00
140,2022-07-01,12:00:00
141,2023-02-13,11:00:00
142,2023-02-27,12:00:00
143,2022-08-19,08:30:00
144,2023-10-28,07:00:00
145,2022-04-23,13:30:00
146,2022-12-23,10:30:00
147,2022-12-14,11:00:00
148,2023-05-13,13:30:00
149,2023-12-14,13:30:00
150,2023-06-17,10:30:00
151,2023-10-19,07:00:00
152,2023-11-17,07:30:00
153,2023-01-23,12:30:00
154,2023-12-22,13:30:00
155,2021-01-14,12:30:00
156,2021-11-05,12:00:00
157,2023-11-10,10:00:00
158,2022-07-28,12:30:00
159,2022-07-27,13:30:00
160,2022-10-09,11:00:00
161,2022-04-22,12:30:00
162,2023-01-01,12:00:00
163,2022-11-19,11:30:00
164,2023-07-15,14:30:00
165,2021-10-07,17:30:00
166,2021-06-25,09:30:00
167,2022-01-26,10:00:00
168,2022-04-26,14:30:00
169,2022-04-24,10:00:00
170,2021-04-03,13:00:00
171,2022-03-14,15:30:00
172,2023-11-27,13:30:00
173,2022-01-14,16:30:00
174,2021-06-22,13:30:00
175,2023-09-18,11:30:00
176,2022-04-22,14:30:00
177,2022-01-23,10:00:00
178,2023-07-12,10:30:00
179,2023-12-15,13:00:00
180,2021-07-12,12:00:00
181,2021-12-12,12:00:00
182,2022-07-21,09:30:00
183,2021-02-23,13:30:00
184,2023-11-14,07:30:00
185,2021-04-07,11:00:00
186,2022-04-01,09:30:00
187,2023-06-07,12:30:00
188,2021-01-10,13:00:00
189,2023-06-12,10:00:00
190,2023-11-19,10:30:00
191,2023-07-19,13:00:00
192,2021-01-14,13:30:00
193,2021-03-23,09:00:00
194,2022-11-14,15:30:00
195,2023-07-03,14:00:00
196,2022-04-19,15:30:00
197,2023-10-03,13:30:00
198,2022-04-10,13:00:00
199,2023-06-27,14:30:00
200,2023-07-09,12:00:00
201,2022-02-25,13:30:00
202,2022-11-27,10:00:00
203,2023-04-28,11:00:00
204,2023-10-15,12:00:00
205,2021-10-01,09:30:00
206,2022-12-09,07:30:00
207,2022-01-04,11:00:00
208,2021-04-09,07:30:00
209,2021-02-22,07:30:00
210,2023-07-19,13:30:00
211,2022-07-15,11:00:00
212,2021-04-21,13:30:00
213,2021-01-15,16:30:00
214,2023-06-21,13:30:00
215,2022-12-04,12:00:00
216,2023-06-25,16:00:00
217,2023-10-25,10:00:00
218,2022-11-21,10:00:00
219,2023-11-23,08:30:00
220,2023-04-18,09:30:00
221,2023-12-28,10:30:00
222,2022-05-03,14:30:00
223,2021-01-24,14:00:00
224,2021-12-12,07:00:00
225,2022-04-01,11:00:00
226,2023-12-26,10:00:00
227,2021-06-13,09:00:00
228,2021-11-25,12:30:00
229,2022-08-12,11:30:00
230,2022-02-21,11:00:00
